,City,Country Code,Lat,Lng,Max Temp(F),Humidity(%),Cloudiness (%),Wind Speed (mph)
0,ALBANY,AU,-84.35,103.61,68.36,67,64,11.43
2,YELLOWKNIFE,CA,86.24,-114.29,-0.41,77,90,4.7
3,BREDASDORP,ZA,-57.12,17.7,69.8,88,92,3.36
4,SAN PATRICIO,MX,6.3,-110.54,78.8,83,75,6.93
5,BUSSELTON,AU,-63.07,100.91,75.11,79,44,15.12
6,BATEMANS BAY,AU,-38.44,151.3,73.49,83,32,7.63
7,KARIBIB,NA,-22.04,15.96,60.44,72,20,2.48
8,DUNEDIN,NZ,-54.47,177.08,62.19,81,80,6.4
9,PUERTO AYORA,EC,-9.88,-92.97,70.92,99,36,9.19
10,PLOUFRAGAN,FR,48.5,-2.92,48.2,93,0,4.7
11,RIKITEA,PF,-60.94,-132.07,76.59,100,100,8.86
14,QANDALA,SO,13.7,49.21,65.75,100,64,5.39
16,MAR DEL PLATA,AR,-58.8,-35.22,64.4,93,75,3.36
17,LUANDA,AO,-8.47,10.37,75.96,98,64,6.4
19,ATUONA,PF,-5.64,-120.75,78.89,100,80,9.42
20,VAINI,TO,-73.22,-176.12,80.6,54,75,11.32
21,ATUONA,PF,-5.77,-125.67,78.89,100,80,9.42
23,THOMPSON,CA,68.54,-94.26,-2.21,84,90,2.24
24,PORT HEDLAND,AU,-25.81,121.93,93.2,38,0,10.29
25,DIBULLA,CO,11.53,-73.61,79.83,91,68,19.37
26,RIKITEA,PF,-32.78,-129.8,76.59,100,100,8.86
27,TUATAPERE,NZ,-52.91,163.25,64.49,77,12,11.65
28,BUTARITARI,KI,7.32,179.18,82.49,100,92,16.8
29,SPOKANE,US,48.29,-117.88,33.8,69,90,5.82
32,CASTRO,CL,-44.17,-94.15,50.81,95,80,8.52
33,IQALUIT,CA,57.92,-67.49,-2.21,70,90,17.22
34,ATUONA,PF,-2.82,-136.79,78.89,100,80,9.42
35,CAPE TOWN,ZA,-52.45,-1.98,57.2,93,0,11.41
36,VILA VELHA,BR,-27.82,-23.46,77,88,75,5.82
37,RIKITEA,PF,-65.42,-117.11,76.59,100,100,8.86
38,AGADEZ,NE,18.27,9.56,55.04,22,68,12.77
40,AVARUA,CK,-35.55,-158.26,82.4,83,75,17.22
41,NEW NORFOLK,AU,-81.51,129.66,71.6,37,75,12.75
42,DANDONG,CN,39.5,125.45,42.62,67,0,5.73
44,RIKITEA,PF,-70.2,-121.12,76.59,100,100,8.86
45,BUSSELTON,AU,-32.3,109.43,75.11,79,44,15.12
46,AVARUA,CK,-58.11,-162.43,82.4,83,75,17.22
47,USHUAIA,AR,-84.47,-88.0,46.4,61,75,11.41
49,VOSTOK,RU,49.36,148.34,21.74,69,68,4.38
50,ILULISSAT,GL,71.6,-50.2,8.6,46,0,3.36
51,BREDASDORP,ZA,-77.16,14.3,69.8,88,92,3.36
52,ATUONA,PF,2.12,-135.79,78.89,100,80,9.42
53,BUTARITARI,KI,19.39,175.42,82.49,100,92,16.8
54,SEVERO-KURILSK,RU,29.73,166.06,25.34,100,44,15.23
55,USHUAIA,AR,-86.08,-43.1,46.4,61,75,11.41
56,QAANAAQ,GL,90.28,-78.62,-5.76,83,20,16.8
57,CONDE,BR,-14.7,-33.59,77,83,20,5.82
58,OSTROVNOY,RU,78.08,43.29,24.89,89,88,14.79
60,BERINGOVSKIY,RU,62.75,178.12,7.74,100,88,28.88
61,PUNTA ARENAS,CL,-76.46,-88.86,42.8,70,75,18.34
62,HALIFAX,CA,40.13,-60.69,19.4,73,5,16.11
65,BURNS LAKE,CA,55.61,-125.24,12.65,77,8,3.71
67,QAANAAQ,GL,90.85,-66.86,-5.76,83,20,16.8
70,LUDERITZ,NA,-27.29,13.8,62.6,77,36,5.82
71,HALF MOON BAY,US,29.91,-137.59,51.8,70,1,5.82
72,HUALMAY,PE,-19.21,-92.25,63.41,96,8,4.38
73,BUTARITARI,KI,6.95,167.22,82.49,100,92,16.8
74,HERMANUS,ZA,-57.07,5.13,56.12,96,0,2.37
75,FARE,PF,-10.1,-148.21,82.67,100,80,7.52
76,MAR DEL PLATA,AR,-60.04,-37.72,64.4,93,75,3.36
77,HOBART,AU,-67.97,151.13,71.6,37,75,12.75
78,VICTORIA,SC,-1.93,60.4,80.6,83,75,12.75
79,RATHOLO,BW,-22.68,27.64,69.71,81,0,9.53
80,CHAPAIS,CA,54.21,-74.75,-18.41,75,1,2.82
82,SALALAH,OM,17.99,52.83,73.4,35,0,12.75
83,TAHE,CN,52.22,123.57,0.09,71,0,1.92
84,YAR-SALE,RU,72.78,73.76,7.52,84,12,6.73
86,HERMANUS,ZA,-60.74,10.06,56.12,96,0,2.37
87,ATUONA,PF,10.32,-132.22,78.89,100,80,9.42
88,BREDASDORP,ZA,-58.03,20.73,69.8,88,92,3.36
89,PRAIA,CV,12.47,-22.05,71.6,73,75,14.99
90,PANABA,MX,21.96,-88.31,75.02,76,0,6.96
91,BAMBOUS VIRIEUX,MU,-28.87,76.65,71.6,88,20,5.82
92,BOROVOY,RU,62.5,52.87,1.4,84,75,8.95
93,HILO,US,23.03,-147.16,75.2,69,20,12.75
95,MAHEBOURG,MU,-40.5,70.3,71.6,88,20,5.82
98,NANTUCKET,US,37.43,-67.63,26.6,68,1,12.33
99,HAY RIVER,CA,60.27,-114.49,19.4,92,90,5.82
100,USHUAIA,AR,-88.99,-52.85,46.4,61,75,11.41
102,RIKITEA,PF,-56.39,-130.28,76.59,100,100,8.86
104,PEMANGKAT,ID,1.36,108.87,78.26,95,88,3.38
105,SOUILLAC,MU,-23.19,58.3,71.6,88,20,5.82
106,RIKITEA,PF,-42.73,-135.18,76.59,100,100,8.86
108,PORT ALFRED,ZA,-79.79,43.84,73.85,75,92,7.74
109,MAYO,CA,63.33,-133.13,-13.01,75,40,2.24
111,BANDA ACEH,ID,3.19,92.5,79.11,92,12,5.17
113,BREDASDORP,ZA,-79.36,13.79,69.8,88,92,3.36
114,HERMANUS,ZA,-86.63,-2.8,56.12,96,0,2.37
116,KHATANGA,RU,85.19,93.99,-25.92,40,48,3.27
118,AHIPARA,NZ,-35.96,166.68,73.98,68,8,14
119,PUERTO AYORA,EC,6.27,-94.81,70.92,99,36,9.19
120,JAMESTOWN,SH,-13.3,-4.74,68.67,100,68,16.02
121,NEW NORFOLK,AU,-57.98,137.45,71.6,37,75,12.75
122,JAMESTOWN,SH,-12.86,-5.35,68.67,100,68,16.02
123,ATUONA,PF,2.18,-139.81,78.89,100,80,9.42
124,PONTA DELGADA,PT,28.97,-28.31,60.8,82,75,5.82
125,HASAKI,JP,25.88,162.13,44.6,56,75,8.05
126,VAINI,TO,-19.62,-178.94,80.6,54,75,11.32
128,UST-ISHIM,RU,57.58,70.49,14.22,86,80,7.63
129,CA MAU,VN,8.16,104.28,77.54,87,80,18.92
130,BAY-KHAAK,RU,50.99,94.44,-12.65,68,68,2.71
131,SEVERO-KURILSK,RU,46.86,156.38,25.34,100,44,15.23
132,EAST LONDON,ZA,-43.41,35.48,75.42,94,92,6.29
133,BLUFF,NZ,-60.6,160.48,61.47,92,12,16.8
134,RIKITEA,PF,-14.63,-116.27,76.59,100,100,8.86
135,TURA,RU,67.32,100.68,-6.84,72,8,2.26
136,RIKITEA,PF,-14.11,-124.47,76.59,100,100,8.86
137,ARRAIAL DO CABO,BR,-37.65,-32.66,73.04,98,92,6.51
138,RIKITEA,PF,-24.91,-139.67,76.59,100,100,8.86
140,MAHEBOURG,MU,-39.15,77.74,71.6,88,20,5.82
142,PRAIA DA VITORIA,PT,43.08,-25.63,62.6,88,75,17.58
143,QAANAAQ,GL,86.83,-78.16,-5.76,83,20,16.8
144,ISANGEL,VU,-17.05,177.74,77.09,100,92,20.6
146,BARROW,US,86.37,-153.14,30.2,92,90,8.05
147,PROVIDENIYA,RU,49.4,-178.82,33.8,100,90,31.32
148,INIRIDA,CO,4.44,-68.31,74.84,94,8,2.04
150,ATUONA,PF,-11.82,-138.14,78.89,100,80,9.42
151,SAO JOSE DA COROA GRANDE,BR,-11.74,-26.9,75.56,95,92,4.72
152,MOLA DI BARI,IT,41.65,17.13,46.4,74,0,14.99
153,USHUAIA,AR,-84.05,-35.2,46.4,61,75,11.41
154,ORTONA,IT,42.99,14.84,49.37,100,0,20.27
155,INNISFAIL,AU,-16.8,148.38,84.24,52,64,5.39
156,HOBART,AU,-89.31,143.43,71.6,37,75,12.75
158,ISANGEL,VU,-18.06,174.66,77.09,100,92,20.6
159,ISANGEL,VU,-17.59,176.78,77.09,100,92,20.6
161,LA SARRE,CA,50.22,-79.36,-17.19,25,0,2.71
162,BUSSELTON,AU,-47.8,83.96,75.11,79,44,15.12
163,USHUAIA,AR,-71.62,-33.29,46.4,61,75,11.41
164,SOUILLAC,MU,-43.13,68.18,71.6,88,20,5.82
165,BANDARBEYLA,SO,6.6,54.21,76.91,100,76,28.1
166,MUMFORD,GH,0.3,1.2,73.53,99,44,4.16
167,ZHIGALOVO,RU,54.93,104.44,16.07,68,68,5.39
168,FAANUI,PF,-4.93,-155.28,82.76,100,32,7.96
169,BUTARITARI,KI,10.98,165.91,82.49,100,92,16.8
170,LAC DU BONNET,CA,52.7,-94.64,-5.58,69,24,11.99
171,YELLOWKNIFE,CA,75.11,-111.12,-0.41,77,90,4.7
172,GEORGETOWN,SH,-3.97,-7.9,75.33,100,76,15.46
173,KRUISFONTEIN,ZA,-50.52,26.73,63.72,91,76,9.08
175,VAINI,TO,-77.91,-167.97,80.6,54,75,11.32
176,LAKES ENTRANCE,AU,-38.01,149.75,74.84,65,0,6.17
177,LONGHUA,CN,28.96,106.84,64.44,39,12,3.38
178,BUSSELTON,AU,-33.52,109.11,75.11,79,44,15.12
179,BAMBOUS VIRIEUX,MU,-37.04,83.67,71.6,88,20,5.82
181,DENEYSVILLE,ZA,-26.77,28.32,61.34,100,76,8.08
182,TUATAPERE,NZ,-47.04,161.56,64.49,77,12,11.65
183,ESPERANCE,AU,-39.11,125.61,81.86,58,24,8.75
184,CABO SAN LUCAS,MX,21.32,-111.66,69.8,68,75,5.82
185,PORT ALFRED,ZA,-76.41,39.17,73.85,75,92,7.74
186,ZAMBEZI,ZM,-12.76,22.09,68.67,86,80,3.94
188,MARGATE,ZA,-33.81,33.99,73.71,93,92,11.77
189,HOBART,AU,-55.7,146.67,71.6,37,75,12.75
191,HERMANUS,ZA,-83.89,-10.87,56.12,96,0,2.37
192,NORMAN WELLS,CA,80.21,-118.95,32,87,90,9.17
193,BARROW,US,68.61,-161.57,30.2,92,90,8.05
194,MAHEBOURG,MU,-24.2,61.94,71.6,88,20,5.82
195,INHAMBANE,MZ,-23.92,35.79,74.75,98,68,9.19
197,USHUAIA,AR,-82.9,-21.51,46.4,61,75,11.41
198,LENINGRADSKIY,RU,74.79,179.71,-0.09,97,68,9.86
199,HERMANUS,ZA,-81.76,1.51,56.12,96,0,2.37
200,CHIMOIO,MZ,-19.84,33.46,70.83,99,92,3.15
201,ALBANY,AU,-50.33,110.44,68.36,67,64,11.43
202,UPERNAVIK,GL,83.86,-49.22,12.96,100,0,15.12
204,USHUAIA,AR,-83.95,-54.15,46.4,61,75,11.41
205,BAMBOUS VIRIEUX,MU,-36.14,79.11,71.6,88,20,5.82
208,MIRANDA,BR,-19.38,-56.12,78.8,82,64,3.15
209,BLUFF,NZ,-53.37,169.9,61.47,92,12,16.8
211,CLYDE RIVER,CA,69.89,-65.14,-20.21,75,90,4.7
212,HITHADHOO,MV,-10.16,72.81,79.97,100,56,2.71
213,BRAE,GB,62.68,0.57,46.4,75,64,13.87
214,RIKITEA,PF,-46.99,-124.37,76.59,100,100,8.86
215,GEORGETOWN,SH,-16.75,-15.84,75.33,100,76,15.46
216,MOGADISHU,SO,0.23,48.56,79.61,97,0,25.86
217,VAINI,TO,-18.62,-179.69,80.6,54,75,11.32
219,ALBANY,AU,-34.19,119.11,68.36,67,64,11.43
220,GEORGETOWN,SH,-1.84,-20.03,75.33,100,76,15.46
221,RIKITEA,PF,-37.01,-109.02,76.59,100,100,8.86
222,PINGLIANG,CN,36.32,106.23,32.49,60,0,3.27
223,CHAPAIS,CA,54.45,-72.25,-18.41,75,1,2.82
224,PUNTA ARENAS,CL,-78.87,-113.51,42.8,70,75,18.34
225,VAINI,TO,-29.38,-171.76,80.6,54,75,11.32
226,BREDASDORP,ZA,-43.81,20.51,69.8,88,92,3.36
227,SOUILLAC,MU,-53.31,72.78,71.6,88,20,5.82
228,BUTARITARI,KI,18.12,176.42,82.49,100,92,16.8
229,THOMPSON,CA,59.06,-93.52,-2.21,84,90,2.24
230,JAMESTOWN,SH,-21.75,-18.99,68.67,100,68,16.02
232,HITHADHOO,MV,-1.89,72.68,79.97,100,56,2.71
233,UPERNAVIK,GL,71.53,-55.48,12.96,100,0,15.12
234,LAGOA,PT,45.64,-32.0,64.89,100,56,21.72
235,KAPAA,US,29.25,-176.03,73.4,88,75,17.22
236,YUMEN,CN,41.33,97.83,16.47,73,12,17.47
237,RIKITEA,PF,-77.59,-127.71,76.59,100,100,8.86
238,ENID,US,36.95,-98.24,37.4,80,75,24.16
239,PORT ALFRED,ZA,-82.74,44.02,73.85,75,92,7.74
240,NEW NORFOLK,AU,-50.73,138.51,71.6,37,75,12.75
241,CASTRO,CL,-54.65,-110.52,50.81,95,80,8.52
242,MANOKWARI,ID,3.03,132.66,83.84,99,44,10.65
244,CASTRO,CL,-45.76,-98.8,50.81,95,80,8.52
246,HILO,US,22.23,-144.45,75.2,69,20,12.75
247,SVETLAYA,RU,47.23,137.85,26.87,100,0,7.07
248,YELLOWKNIFE,CA,67.09,-107.93,-0.41,77,90,4.7
249,LAGOA,PT,46.24,-26.35,64.89,100,56,21.72
250,THUNDER BAY,CA,48.03,-88.4,12.2,78,90,3.36
251,BUTEMBO,CD,-0.06,27.36,55.17,91,0,1.7
252,NORMAN WELLS,CA,81.06,-118.03,32,87,90,9.17
253,MAR DEL PLATA,AR,-43.14,-55.52,64.4,93,75,3.36
254,HAMBANTOTA,LK,1.69,87.35,78.71,100,56,11.99
255,BUTARITARI,KI,18.76,165.61,82.49,100,92,16.8
257,USHUAIA,AR,-85.11,-29.82,46.4,61,75,11.41
259,RIKITEA,PF,-60.83,-134.76,76.59,100,100,8.86
261,ANCUD,CL,-40.77,-104.67,52.83,97,92,8.3
262,FAANUI,PF,-5.62,-157.22,82.76,100,32,7.96
265,HOBART,AU,-60.18,150.86,71.6,37,75,12.75
266,DIRE,ML,12.22,-10.87,61.92,44,8,7.18
267,ALBANY,AU,-64.97,108.17,68.36,67,64,11.43
268,CASTRO,CL,-42.86,-85.02,50.81,95,80,8.52
269,BAKALY,RU,55.12,54.11,17.15,84,88,6.96
270,RANONG,TH,10.02,96.77,73.4,78,75,13.33
271,LLANES,ES,43.26,-4.69,26.37,69,0,0.81
272,LAGOA,PT,49.37,-33.22,64.89,100,56,21.72
273,JAMESTOWN,SH,-15.68,-5.41,68.67,100,68,16.02
274,NANDU,CN,22.75,111.28,61.56,32,80,3.83
275,TAKORADI,GH,-0.43,-1.32,75.65,100,76,4.61
276,YELLOWKNIFE,CA,66.27,-112.65,-0.41,77,90,4.7
277,LA RONGE,CA,56.54,-104.54,6.8,77,90,11.41
278,BALKANABAT,TM,40.62,52.63,31.82,95,88,1.7
279,CAPE TOWN,ZA,-35.49,14.81,57.2,93,0,11.41
280,ARRAIAL DO CABO,BR,-34.73,-35.85,73.04,98,92,6.51
281,INHAMBANE,MZ,-25.79,37.13,74.75,98,68,9.19
283,RIKITEA,PF,-10.87,-116.16,76.59,100,100,8.86
286,URENGOY,RU,66.38,79.63,16.79,86,88,9.08
287,LUBANGO,AO,-14.79,13.8,59.81,92,44,1.25
288,MOUNT PLEASANT,US,31.93,-78.54,57.2,62,90,4.94
289,RIKITEA,PF,-22.4,-131.82,76.59,100,100,8.86
290,TORBAY,CA,48.98,-43.51,28.4,74,90,28.86
293,HOBART,AU,-53.58,152.31,71.6,37,75,12.75
294,VAINI,TO,-49.34,-173.04,80.6,54,75,11.32
296,ALBANY,AU,-71.73,120.63,68.36,67,64,11.43
297,BUSSELTON,AU,-64.07,91.24,75.11,79,44,15.12
298,SAURIMO,AO,-9.15,19.53,65.34,93,80,2.59
299,UST-OMCHUG,RU,60.96,149.23,-38.3,0,32,2.37
301,RIKITEA,PF,-40.7,-128.39,76.59,100,100,8.86
302,JAMESTOWN,SH,-29.67,-0.62,68.67,100,68,16.02
303,PUNTA ARENAS,CL,-61.48,-111.18,42.8,70,75,18.34
304,TUKTOYAKTUK,CA,84.49,-132.98,26.6,92,90,29.97
305,SITKA,US,55.75,-137.89,35.6,37,1,9.17
306,SAINT-PIERRE,PM,43.21,-57.26,34.92,100,48,30.56
307,ABU ZABAD,SD,12.22,29.36,59.49,53,0,6.17
308,HILO,US,17.1,-155.2,75.2,69,20,12.75
309,CAPE TOWN,ZA,-46.47,0.72,57.2,93,0,11.41
310,SEHITHWA,BW,-20.16,22.9,66.78,92,0,2.82
311,GRINDAVIK,IS,56.86,-25.28,44.6,100,90,24.16
312,POINT FORTIN,TT,9.95,-62.0,77,83,20,11.1
313,ARRAIAL DO CABO,BR,-32.28,-33.21,73.04,98,92,6.51
314,LEH,IN,33.3,79.04,-20.39,53,12,1.48
315,TUKTOYAKTUK,CA,79.55,-132.37,26.6,92,90,29.97
316,SAINT GEORGE,BM,35.58,-55.91,68,82,90,16.11
317,KAVIENG,PG,17.71,156.75,84.78,100,36,4.72
318,SASKYLAKH,RU,74.34,114.21,-18.77,27,56,3.38
319,BREDASDORP,ZA,-45.05,22.1,69.8,88,92,3.36
320,AVARUA,CK,-22.27,-161.18,82.4,83,75,17.22
321,YELLOWKNIFE,CA,84.43,-115.41,-0.41,77,90,4.7
322,WHITECOURT,CA,54.48,-115.94,17.6,72,90,11.41
323,BUTARITARI,KI,8.67,174.32,82.49,100,92,16.8
324,CHULYM,RU,55.4,81.46,-2.16,72,88,12.1
325,PORT PIRIE,AU,-32.78,139.11,78.8,57,0,9.17
326,USHUAIA,AR,-83.39,-16.97,46.4,61,75,11.41
328,HALF MOON BAY,US,30.93,-136.25,51.8,70,1,5.82
329,KODIAK,US,59.24,-156.19,41,75,90,33.33
330,PROVIDENIYA,RU,57.03,-172.86,33.8,100,90,31.32
331,BUALA,SB,-8.08,159.7,87.57,73,0,6.4
332,ASSOMADA,CV,14.89,-23.84,71.6,73,75,14.99
333,KHATANGA,RU,78.64,95.79,-25.92,40,48,3.27
334,PUERTO AYORA,EC,2.15,-92.02,70.92,99,36,9.19
